Year,Region,Hour,Technology,Fuel,value
2020,DK,73,SolarPV,Power,5.11610496
2030,DK,73,SolarPV,Power,6.992010112
2040,DK,73,SolarPV,Power,10.23220992
2050,DK,73,SolarPV,Power,20.46441984
2020,UK,73,SolarPV,Power,1.9318964220000001
2030,UK,73,SolarPV,Power,2.6979932790000003
2040,UK,73,SolarPV,Power,4.33011267
2050,UK,73,SolarPV,Power,13.3234236
2020,DE,74,SolarPV,Power,33.419858766
2030,DE,74,SolarPV,Power,46.378579512
2040,DE,74,SolarPV,Power,67.521755466
2050,DE,74,SolarPV,Power,136.4075868
2020,FR,74,SolarPV,Power,37.31597025
2030,FR,74,SolarPV,Power,51.38122057499999
2040,FR,74,SolarPV,Power,70.61329755
2050,FR,74,SolarPV,Power,172.227555
2020,NO,74,SolarPV,Power,3.290359129
2030,NO,74,SolarPV,Power,4.4516623509999995
2040,NO,74,SolarPV,Power,6.580718258
2050,NO,74,SolarPV,Power,12.967885979
2020,DK,74,SolarPV,Power,9.5585136
2030,DK,74,SolarPV,Power,13.063301919999999
2040,DK,74,SolarPV,Power,19.1170272
2050,DK,74,SolarPV,Power,38.2340544
2020,UK,74,SolarPV,Power,11.45525462
2030,UK,74,SolarPV,Power,15.99785559
2040,UK,74,SolarPV,Power,25.6755707
2050,UK,74,SolarPV,Power,79.001756
2020,DE,75,SolarPV,Power,45.623527894
2030,DE,75,SolarPV,Power,63.314283608
2040,DE,75,SolarPV,Power,92.178148194
2050,DE,75,SolarPV,Power,186.21848119999999
2020,FR,75,SolarPV,Power,57.06980955
2030,FR,75,SolarPV,Power,78.58073776500001
2040,FR,75,SolarPV,Power,107.99363961
2050,FR,75,SolarPV,Power,263.39912100000004
2020,NO,75,SolarPV,Power,6.102478865
2030,NO,75,SolarPV,Power,8.256294935
2040,NO,75,SolarPV,Power,12.20495773
2050,NO,75,SolarPV,Power,24.050946115
2020,DK,75,SolarPV,Power,13.8074499
2030,DK,75,SolarPV,Power,18.87018153
2040,DK,75,SolarPV,Power,27.6148998
2050,DK,75,SolarPV,Power,55.2297996
2020,UK,75,SolarPV,Power,14.893904158
2030,UK,75,SolarPV,Power,20.800107531000002
2040,UK,75,SolarPV,Power,33.382888630000004
2050,UK,75,SolarPV,Power,102.7165804
2020,DE,76,SolarPV,Power,51.549602202
2030,DE,76,SolarPV,Power,71.53822346400001
2040,DE,76,SolarPV,Power,104.15123710200001
2050,DE,76,SolarPV,Power,210.40653960000003
2020,FR,76,SolarPV,Power,70.40959978
2030,FR,76,SolarPV,Power,96.948602774
2040,FR,76,SolarPV,Power,133.236627276
2050,FR,76,SolarPV,Power,324.9673836
2020,NO,76,SolarPV,Power,7.778383643
2030,NO,76,SolarPV,Power,10.523695517
2040,NO,76,SolarPV,Power,15.556767286
2050,NO,76,SolarPV,Power,30.655982593
2020,DK,76,SolarPV,Power,16.11082446
2030,DK,76,SolarPV,Power,22.018126761999998
2040,DK,76,SolarPV,Power,32.22164892
