Year,Hour,To,From,Fuel,value
2050,6,DE,DK,H2,19.53125
2050,45,DE,DK,Power,12.321987545344143
2050,106,FR,UK,H2,4.775935277916664
2040,73,DE,DK,H2,0.9664081133333338
2020,18,FR,UK,H2,2.678038353833326
2040,59,NO,DK,Power,2.9262873044999997
2030,82,DE,FR,H2,3.946876830637718
2020,92,FR,UK,H2,5.0
2030,89,DE,DK,H2,3.1649335881666665
2040,43,DE,FR,H2,3.840738971500002
2050,56,DE,FR,H2,12.77237168900545
2050,20,DK,NO,H2,2.132473434874999
2050,41,DE,DK,Power,17.82585466698875
2040,61,UK,FR,H2,2.916666666666666
2050,49,DE,FR,H2,2.71286663833334
2020,30,NO,DK,Power,2.366956347000002
2030,99,FR,UK,H2,2.60314607716667
2030,106,FR,DE,H2,5.261283896666672
2020,81,DE,DK,H2,0.458183060655033
2040,37,DE,DK,H2,1.7489278095389014
2030,10,NO,UK,H2,0.04143731119443217
2030,91,DE,DK,H2,3.1369689526666673
2040,20,DE,DK,H2,8.863111334000001
2040,27,DE,DK,H2,8.337677051500023
2020,82,DE,FR,H2,0.6077092600000009
2020,4,FR,UK,H2,5.0
2020,89,DE,DK,H2,0.924034982833333
2030,101,DE,DK,Power,5.795102537000005
2040,6,FR,DE,H2,7.1925397745000055
2020,58,NO,UK,H2,0.7471146121989791
2030,80,NO,DK,H2,0.1951778055000002
2040,53,NO,DK,H2,4.522138772833335
2030,119,FR,UK,Power,2.2374975930000005
2040,58,NO,DK,Power,1.5127212134999999
2040,91,FR,UK,H2,9.54134585949002
2020,99,FR,UK,H2,0.9874967697035961
2040,33,NO,DK,H2,3.90625
2050,17,DE,DK,H2,1.9296299575000018
2030,105,DE,DK,H2,7.5
2020,91,DE,DK,H2,0.9598130338333333
2030,73,DE,DK,H2,0.6505358426666668
2030,59,NO,DK,Power,1.298443098
2050,87,DK,NO,H2,2.1763249360624997
2040,59,DE,FR,H2,0.9908271393010395
2030,102,DE,DK,H2,5.0
2050,22,DE,DK,H2,17.96704006875
2050,40,FR,UK,Power,14.373613666170916
2050,104,DE,FR,Power,11.583811589368992
2020,112,FR,UK,H2,5.0
2020,80,NO,DK,H2,2.3494617730000007
2050,6,FR,UK,H2,5.2592500497637324
2030,119,NO,DK,H2,7.5
2030,37,DE,DK,H2,1.879510156666667
2040,87,DE,DK,H2,3.6572074938333343
2020,105,DE,DK,H2,1.1229670303333341
2040,102,FR,UK,H2,5.657175166833333
2040,42,FR,UK,Power,12.946083004287786
2030,20,DE,DK,H2,6.577425086666667
2050,76,DE,FR,H2,15.362253873186617
2030,27,DE,DK,H2,7.5
2020,59,NO,DK,Power,3.845295151
2040,32,NO,DK,Power,2.4053793255
2020,102,DE,DK,H2,2.9063424143333325
2030,6,FR,DE,H2,4.062757359999999
2030,103,DE,DK,H2,2.9242556819999983
2020,81,DE,FR,Power,0.16193979868993177
2040,37,FR,UK,H2,4.719186007521939
2050,14,DE,DK,H2,19.53125
2030,53,NO,DK,H2,7.5
2050,71,DE,FR,Power,16.808019665000003
2040,106,DE,DK,H2,6.150681173833332
2030,91,FR,UK,H2,3.961196754166666
2050,103,NO,UK,H2,2.059870358375
2040,58,DE,FR,H2,6.832302518236785
2030,12,FR,UK,Power,2.20799965096757
2040,27,FR,UK,H2,11.077527099333336
2030,19,FR,UK,H2,2.916666666666666
2020,119,NO,DK,H2,0.7933036549999999
2030,67,FR,UK,H2,2.575737169833325
2020,31,FR,DE,H2,1.177793172006325
2050,34,DE,DK,H2,6.245131299583331
2040,61,DE,DK,H2,4.7016994783333335
2040,48,FR,UK,H2,9.437429831333334
2020,20,DE,DK,H2,2.943083094833333
2040,41,FR,UK,Power,2.6537329253379762
2020,27,DE,DK,H2,4.833333333333333
2030,59,DE,FR,H2,4.3607155488460805
2020,31,DK,DE,H2,0.8275628564936737
2040,5,FR,DE,Power,1.7635494339818294
2040,88,DE,DK,Power,3.2637242060000005
2030,71,FR,DE,H2,7.5
2030,105,FR,UK,H2,0.43603814966666476
2020,103,DE,DK,H2,0.6078745263333334
2020,53,NO,DK,H2,2.4673862509999998
2020,58,NO,DK,Power,2.8242088069999998
2020,91,FR,UK,H2,1.7658656813333335
2030,73,FR,UK,H2,7.5
2050,35,DE,DK,Power,7.00201217216477
2040,1,NO,DK,Power,2.3952982790000004
2020,12,FR,UK,Power,2.7429796786538314
2030,117,FR,UK,Power,6.1833294403333205
2030,87,DE,DK,H2,2.3795321321666667
2020,19,FR,UK,H2,1.9302254078333299
2030,102,FR,UK,H2,3.338958501666662
2030,102,DE,FR,Power,1.7277381243596408
2050,40,DE,DK,Power,9.934194591707588
2050,22,FR,UK,H2,8.235501287782506
2050,63,DE,FR,Power,7.905119730000004
2030,17,FR,DE,H2,7.5
2050,81,DE,FR,H2,30.76286060158639
2040,63,UK,FR,H2,2.916666666666666
2020,59,DE,FR,H2,4.714594878920254
2030,32,NO,DK,Power,2.3670112760000013
2050,6,DK,NO,H2,8.887416212562501
2030,37,FR,UK,H2,7.5
2040,87,FR,UK,H2,2.810929206833336
2020,105,FR,UK,H2,5.0
2030,106,DE,DK,H2,3.8394565856666665
2050,89,DE,FR,H2,2.5562670546381234
2030,58,DE,FR,H2,0.8721511450000037
2030,20,FR,UK,H2,4.3091796936666675
2030,27,FR,UK,H2,2.916666666666666
2050,11,DE,DK,Power,13.190613999703288
2020,73,FR,UK,H2,5.0
2030,22,FR,DE,H2,3.7249141970000004
2030,120,NO,DK,H2,2.6197447939473704
2020,117,FR,UK,Power,8.103344716452389
2020,87,DE,DK,H2,0.15592799683333314
2030,61,DE,DK,H2,3.710451836666667
2030,48,FR,UK,H2,7.5
2030,117,NO,DK,H2,2.8260384231666666
2020,102,FR,UK,H2,1.9010540993333347
2040,104,DE,DK,H2,6.860984800833334
2050,14,FR,UK,H2,16.276041666666668
2040,81,NO,UK,H2,3.569500984750001
2040,37,DK,NO,H2,3.4702823925000006
2030,5,FR,DE,Power,1.9698542771941359
2050,47,DE,FR,Power,48.97349610851792
2020,32,NO,DK,Power,3.353125295496686
2050,113,FR,UK,Power,57.22501705
2050,15,DE,DK,H2,1.348153714238343
2020,37,FR,UK,H2,5.0
2050,100,DE,DK,H2,11.409588424583335
2050,90,FR,UK,H2,16.276041666666668
2020,106,DE,DK,H2,1.8476924408333322
2020,58,DE,FR,H2,5.0
2020,20,FR,UK,H2,5.0
2020,27,FR,UK,H2,0.8242479253333341
2040,51,UK,FR,H2,10.416666666666666
2020,120,NO,DK,H2,0.36524145699999977
2030,14,FR,DE,H2,7.5
2020,61,DE,DK,H2,1.379640796333333
2030,118,FR,UK,Power,3.517927153999999
2020,48,FR,UK,H2,4.645707441333333
2030,83,FR,UK,H2,2.716570196666664
2050,105,DE,FR,H2,6.49687602616666
2050,73,DE,FR,H2,4.196394028333337
2020,70,FR,UK,H2,5.0
2040,85,FR,UK,Power,2.4007746249999933
2050,102,DE,FR,H2,19.53125
2050,31,NO,UK,H2,32.48184339184212
2040,17,DE,DK,H2,13.571047678
2030,54,UK,FR,H2,7.162062519604861
2030,104,DE,DK,H2,2.506236853526489
2020,118,FR,UK,Power,6.933853524730921
2020,83,FR,UK,H2,5.0
2040,74,FR,DE,H2,6.930933525000004
2050,37,DK,NO,Power,25.76540365237002
2030,106,FR,UK,H2,0.2601664391666656
2050,37,DE,FR,H2,19.53125
2030,118,NO,DK,H2,1.8007232806666664
2020,117,DE,DK,Power,1.5882832071824784
2040,22,DE,DK,H2,6.3894785779999985
2030,44,FR,UK,Power,0.3000769423112051
2020,87,FR,UK,H2,5.0
2050,95,FR,UK,H2,16.276041666666668
2050,48,DE,FR,H2,9.020248072249961
2030,51,UK,FR,H2,2.5956001132017557
2050,103,DE,FR,H2,19.53125
2050,14,DK,NO,H2,12.786458333333334
2040,50,NO,DK,H2,3.837812624333335
2050,29,DE,DK,H2,10.976979270833327
2020,104,DE,DK,H2,2.5182476928333335
2050,15,FR,UK,H2,16.276041666666668
2050,8,DE,DK,H2,19.53125
2020,81,NO,UK,H2,2.5
2020,106,FR,UK,H2,5.0
2040,94,FR,UK,Power,2.5463852176922366
2040,74,UK,FR,H2,8.249865504166667
2050,5,DE,DK,H2,13.650444604999999
2030,99,NO,DK,Power,1.7995386690000004
2040,54,DE,DK,H2,13.720050642198961
2050,60,DE,DK,Power,20.439553104999995
2040,3,NO,DK,H2,3.90625
2040,14,DE,DK,H2,13.720050642198961
2050,83,DE,FR,H2,13.015546656
2020,51,UK,FR,H2,4.78208061766667
2050,23,DE,DK,H2,1.3094907477616533
2030,15,FR,DE,H2,7.5
2040,90,DE,DK,H2,3.1664628875529863
2030,74,FR,DE,H2,4.582118200500005
2040,34,DE,DK,H2,0.619370079333335
2050,87,DE,FR,H2,7.074472411020837
2040,51,DE,DK,H2,4.718679949833333
2040,28,NO,DK,H2,1.2346000952500007
2050,96,FR,UK,H2,19.479166666666664
2030,22,DE,DK,H2,7.398931664166666
2040,11,NO,DK,H2,3.90625
2030,102,NO,UK,H2,3.125
2030,104,FR,UK,H2,1.5249461961666668
2030,6,FR,UK,H2,6.353909306666667
2040,5,FR,DE,H2,13.020833333333334
2030,50,NO,DK,H2,7.5
2040,40,DE,DK,Power,6.237896756000001
2040,5,DK,DE,H2,0.384753099030565
2050,98,DE,DK,H2,7.025909470833307
2020,31,FR,UK,H2,2.604312584699911
2030,11,FR,UK,Power,17.888464974918097
2030,94,FR,UK,Power,1.2837024591410635
2030,74,UK,FR,H2,6.247716277833334
2020,35,FR,UK,Power,5.175081255077665
2050,61,DE,FR,H2,16.654214364586878
2040,81,DE,FR,H2,7.699626703666668
2020,3,FR,UK,Power,1.1500325624881103
2020,22,DE,DK,H2,3.652834884833333
2030,103,NO,UK,H2,3.125
2020,6,FR,UK,H2,5.0
2050,8,FR,UK,H2,0.22713971550000167
2050,36,FR,UK,H2,35.80729166666667
2050,36,DE,FR,Power,9.252472370501078
2030,57,UK,FR,H2,7.5
2050,45,NO,UK,Power,5.520929541875
2030,77,NO,DK,H2,6.662038774500002
2020,50,NO,DK,H2,2.5
2050,5,FR,UK,H2,16.276041666666668
2030,34,DE,DK,H2,2.149712402313425
2020,28,FR,UK,Power,0.39058268284669456
2040,95,DE,DK,H2,1.5198865518333329
2050,101,DE,DK,H2,0.5297894678732491
2050,34,NO,UK,H2,2.671239012687501
2030,28,NO,DK,H2,2.8725723718508807
2020,81,NO,DK,Power,1.6694548329996202
2020,11,FR,UK,Power,10.438018920097779
2020,94,FR,UK,Power,0.16574428779767272
2040,39,DE,DK,H2,8.030839694208368
2050,23,FR,UK,H2,14.156236651000004
2030,17,FR,UK,H2,2.013923164666666
2020,54,DE,DK,H2,5.0
2040,47,FR,UK,H2,9.706119602512704
2040,113,FR,UK,Power,16.931319552979396
2040,15,DE,DK,H2,13.720050642198961
2040,100,DE,DK,H2,9.328452522500005
2040,90,FR,UK,H2,7.8274187492551475
2040,34,FR,UK,H2,9.878030382333337
2040,74,DE,DK,H2,1.7751320144812581
2030,5,FR,DE,H2,7.5
2050,43,DE,DK,Power,0.3596189796401038
2020,57,UK,FR,H2,4.798069037745026
2040,52,UK,FR,H2,5.953090846166663
