Year,Hour,From,To,Fuel,value
2040,95,DK,DE,H2,1.5198865518333329
2050,45,FR,DE,Power,7.526939789110724
2020,54,FR,DE,H2,1.9447356346666673
2050,101,DK,DE,H2,0.5297894678732491
2040,39,DK,DE,H2,8.030839694208368
2020,54,DK,DE,H2,5.0
2030,14,UK,FR,H2,2.916666666666666
2030,98,UK,NO,H2,2.0423478809999995
2040,15,DK,DE,H2,13.720050642198961
2040,100,DK,DE,H2,9.328452522500005
2020,105,DK,NO,H2,2.1982149259999995
2020,32,DK,NO,Power,3.4024513126666776
2030,47,UK,FR,H2,4.669603064959568
2050,27,DE,FR,H2,6.753797540666671
2040,74,DK,DE,H2,1.7751320144812581
2030,27,DK,NO,H2,2.2057311667762516
2030,90,UK,FR,H2,3.524071306166668
2030,34,UK,FR,H2,3.8168111078532436
2030,36,UK,FR,Power,18.187895510944465
2020,31,DE,DK,H2,0.8275628564936737
2040,95,UK,FR,H2,8.627386567833335
2030,1,DE,FR,H2,7.5
2020,34,DK,DE,H2,0.7088756108333334
2050,115,DK,DE,H2,14.419539147500004
2020,51,DK,DE,H2,0.14766226950000316
2040,57,DK,DE,H2,1.7817543019999995
2050,80,FR,DE,H2,19.53125
2040,4,DE,FR,H2,5.631754213000001
2030,101,UK,NO,H2,3.125
2040,100,UK,FR,H2,9.776735614515106
2020,14,UK,FR,H2,5.0
2050,120,UK,FR,Power,15.603780264152906
2020,47,UK,FR,H2,3.5949425673333333
2020,27,DK,NO,H2,2.5
2020,29,UK,FR,Power,0.43275229266667026
2020,90,UK,FR,H2,5.0
2050,42,UK,FR,Power,28.4936236725
2040,60,DK,DE,Power,2.4754217123931346
2020,34,UK,FR,H2,5.0
2020,36,UK,FR,Power,11.183614864666666
2050,115,UK,FR,H2,16.276041666666668
2030,95,DK,DE,H2,1.2736472201666662
2050,111,DK,DE,Power,17.45492521583334
2030,18,DE,FR,H2,7.5
2030,39,DK,DE,H2,6.921893248666665
2050,13,DK,DE,Power,36.67399689559585
2030,100,DK,DE,H2,7.5
2030,64,DE,FR,H2,5.0
2040,96,UK,FR,H2,1.175764444833332
2050,24,DK,DE,H2,4.088011048749999
2050,109,DK,DE,H2,16.788036224166664
2040,115,UK,FR,Power,7.8247123169999995
2030,95,UK,FR,H2,5.770055192666668
2050,119,DK,DE,H2,7.901182065833334
2040,36,FR,DE,H2,9.152478935166664
2050,41,UK,FR,Power,17.255108677500008
2040,29,DK,DE,H2,0.8719835352866347
2040,75,DK,DE,H2,7.179853860000009
2030,39,UK,FR,H2,7.5
2040,16,UK,FR,Coal,0.02460215976917368
2050,10,DK,DE,Power,71.161352826439
2040,8,DK,DE,H2,1.8004534978333342
2030,106,DK,NO,H2,1.856532626499999
2050,97,NO,DK,H2,0.14011912768604695
2020,39,DK,DE,H2,3.3379062123333325
2040,36,DK,DE,H2,2.877740084833332
2040,31,DK,NO,H2,3.3774978240000015
2040,82,DK,DE,Power,4.138701195894029
2030,4,DE,FR,H2,7.435048991450138
2030,37,NO,UK,H2,2.4213562315000017
2030,100,UK,FR,H2,4.672198673298243
2050,26,DK,DE,Power,10.64793269325001
2040,63,FR,UK,H2,2.916666666666666
2050,24,UK,FR,H2,16.276041666666668
2020,100,DK,DE,H2,5.0
2050,109,UK,FR,H2,15.931712648330972
2030,99,DK,NO,Power,1.8260107114865634
2050,62,FR,DE,H2,17.288594312500003
2020,74,DK,DE,H2,1.0287960309999988
2050,33,DK,DE,H2,5.847066120000003
2050,119,UK,FR,H2,15.797267472500002
2040,23,DK,DE,H2,3.3552639828333337
2030,60,DK,DE,Power,0.24967111533333508
2020,95,UK,FR,H2,5.0
2020,57,FR,DE,H2,0.12216553250000217
2040,75,UK,FR,H2,1.7770158708333312
2040,8,UK,FR,H2,4.331872936833333
2040,36,UK,FR,H2,19.233815305264486
2050,46,DK,DE,Power,3.0847862575000002
2040,52,DK,DE,H2,5.96462684050281
2050,116,DK,DE,Power,4.692080555214707
2040,12,UK,NO,H2,3.90625
2020,15,UK,FR,H2,5.0
2040,24,UK,FR,Power,1.7375421149999966
2020,100,UK,FR,H2,1.7772670873333336
2030,96,UK,FR,H2,1.6863863321666628
2050,12,FR,DE,H2,19.53125
2050,71,NO,DK,Power,0.70097352825
2050,38,DK,DE,Power,15.459677002394423
2040,23,UK,FR,H2,1.4224710263333353
2050,88,FR,DE,H2,15.279862817770836
2030,115,UK,FR,Power,0.852319807333334
2030,36,FR,DE,H2,7.4046703028333365
2040,98,FR,DE,H2,13.082064372100534
2050,88,DK,DE,H2,4.2513871822291645
2030,33,UK,NO,H2,0.9165161985000019
2040,51,FR,UK,H2,10.416666666666666
2030,8,DK,DE,H2,0.1492702136666666
2050,66,DK,DE,Power,7.637502184999999
2050,9,DK,DE,H2,19.53125
2030,36,DK,DE,H2,2.870984025166667
2030,31,DK,NO,H2,5.887156887705796
2040,98,DK,DE,H2,2.542935627899466
2030,104,DK,NO,H2,3.125
2020,96,UK,FR,H2,5.0
2050,11,FR,DE,Power,19.13205720516663
2050,12,UK,FR,H2,17.941795710833333
2050,120,DK,DE,H2,7.286284264880258
2040,101,FR,DE,H2,7.278067352813329
2030,29,UK,FR,H2,3.4962395251666685
2050,88,UK,FR,H2,31.555904484437505
2050,117,DK,DE,H2,20.356956845635967
2050,9,UK,FR,H2,5.082264820500011
2020,29,DK,DE,H2,1.601635426999998
2020,75,DK,DE,H2,3.2274829421503872
2030,36,UK,FR,H2,7.5
2040,22,DK,NO,H2,3.90625
2040,98,UK,FR,H2,7.212071215433866
